index,lat,lon,depth
1.2840000e+03, 4.5200381e+01,-1.2397560e+02,-3.4801278e+00
1.2850000e+03, 4.5200376e+01,-1.2397562e+02,-3.4778594e+00
1.2860000e+03, 4.5200370e+01,-1.2397565e+02,-3.4743945e+00
1.2870000e+03, 4.5200364e+01,-1.2397567e+02,-3.4720703e+00
1.2880000e+03, 4.5200359e+01,-1.2397570e+02,-3.4685679e+00
1.2890000e+03, 4.5200353e+01,-1.2397572e+02,-3.4662533e+00
1.2900000e+03, 4.5200348e+01,-1.2397575e+02,-3.4628183e+00
1.2910000e+03, 4.5200342e+01,-1.2397577e+02,-3.4605795e+00
1.2920000e+03, 4.5200336e+01,-1.2397580e+02,-3.4573097e+00
1.2930000e+03, 4.5200331e+01,-1.2397582e+02,-3.4552082e+00
1.2940000e+03, 4.5200325e+01,-1.2397585e+02,-3.4521941e+00
1.2950000e+03, 4.5200319e+01,-1.2397587e+02,-3.4502922e+00
1.2960000e+03, 4.5200314e+01,-1.2397590e+02,-3.4474613e+00
1.2970000e+03, 4.5200308e+01,-1.2397592e+02,-3.4454762e+00
